,Provider ID,IMM_2,IMM_3_OP_27_FAC_ADHPCT,OP_22,OP_23,OP_29,OP_30,OP_4,PC_01,STK_4,VTE_5,VTE_6
0,10001,97.0,81.0,4.0,0.0,0.0,82.0,0.0,0.0,67.0,90.0,0.0
1,10005,99.0,83.0,2.0,86.0,92.0,92.0,99.0,1.0,0.0,100.0,0.0
2,10006,100.0,87.0,1.0,0.0,70.0,88.0,0.0,0.0,0.0,92.0,0.0
3,10007,99.0,53.0,1.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0
4,10008,95.0,43.0,1.0,0.0,96.0,97.0,0.0,0.0,0.0,0.0,0.0
5,10011,83.0,53.0,3.0,0.0,77.0,41.0,0.0,0.0,0.0,100.0,21.0
6,10012,100.0,90.0,2.0,76.0,100.0,100.0,100.0,13.0,0.0,100.0,0.0
7,10016,98.0,76.0,2.0,0.0,88.0,100.0,0.0,2.0,0.0,97.0,0.0
8,10018,39.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10019,98.0,82.0,1.0,0.0,72.0,100.0,99.0,8.0,0.0,100.0,0.0
10,10021,100.0,96.0,2.0,0.0,83.0,90.0,100.0,0.0,0.0,0.0,0.0
11,10022,99.0,76.0,1.0,0.0,0.0,86.0,94.0,0.0,0.0,0.0,0.0
12,10023,97.0,70.0,2.0,0.0,50.0,41.0,0.0,3.0,78.0,97.0,0.0
13,10024,99.0,54.0,5.0,0.0,100.0,100.0,0.0,1.0,0.0,96.0,5.0
14,10029,91.0,97.0,3.0,0.0,58.0,92.0,90.0,0.0,0.0,81.0,9.0
15,10032,99.0,81.0,1.0,0.0,94.0,100.0,96.0,0.0,0.0,0.0,0.0
16,10033,98.0,72.0,4.0,0.0,75.0,93.0,0.0,0.0,100.0,81.0,1.0
17,10034,85.0,81.0,5.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
18,10035,99.0,91.0,1.0,75.0,60.0,78.0,99.0,9.0,0.0,100.0,0.0
19,10036,100.0,81.0,1.0,0.0,100.0,95.0,100.0,0.0,0.0,100.0,0.0
20,10038,100.0,65.0,1.0,0.0,88.0,88.0,0.0,0.0,0.0,78.0,0.0
21,10039,97.0,88.0,1.0,0.0,89.0,87.0,0.0,1.0,95.0,95.0,2.0
22,10040,99.0,63.0,4.0,0.0,60.0,40.0,0.0,4.0,82.0,94.0,4.0
23,10044,99.0,81.0,1.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0
24,10045,100.0,74.0,1.0,0.0,100.0,100.0,94.0,0.0,0.0,0.0,0.0
25,10046,100.0,84.0,1.0,0.0,100.0,100.0,0.0,0.0,0.0,87.0,0.0
26,10047,98.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,10049,98.0,59.0,2.0,94.0,87.0,99.0,100.0,0.0,0.0,0.0,0.0
28,10051,42.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,10052,53.0,57.0,0.0,0.0,70.0,32.0,79.0,0.0,0.0,0.0,0.0
30,10055,100.0,76.0,2.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0
31,10056,96.0,49.0,0.0,0.0,91.0,32.0,0.0,2.0,0.0,66.0,2.0
32,10058,82.0,54.0,2.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
33,10059,93.0,96.0,1.0,0.0,0.0,95.0,91.0,0.0,0.0,0.0,0.0
34,10061,99.0,71.0,2.0,55.0,17.0,60.0,90.0,10.0,0.0,100.0,0.0
35,10062,53.0,22.0,2.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
36,10065,98.0,74.0,1.0,0.0,99.0,99.0,89.0,1.0,0.0,0.0,0.0
37,10069,99.0,46.0,1.0,0.0,100.0,12.0,100.0,0.0,0.0,0.0,0.0
38,10073,96.0,74.0,2.0,0.0,14.0,25.0,82.0,0.0,0.0,0.0,0.0
39,10078,79.0,89.0,2.0,60.0,53.0,70.0,92.0,0.0,71.0,79.0,4.0
40,10079,99.0,92.0,2.0,0.0,14.0,84.0,99.0,0.0,0.0,100.0,0.0
41,10083,100.0,93.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
42,10085,94.0,87.0,3.0,40.0,0.0,0.0,96.0,4.0,13.0,83.0,0.0
43,10086,94.0,76.0,1.0,0.0,97.0,92.0,100.0,0.0,0.0,0.0,0.0
44,10087,99.0,94.0,14.0,0.0,98.0,94.0,0.0,0.0,100.0,97.0,0.0
45,10089,100.0,80.0,2.0,0.0,64.0,94.0,99.0,0.0,0.0,0.0,0.0
46,10090,98.0,94.0,1.0,0.0,74.0,99.0,0.0,0.0,69.0,100.0,0.0
47,10091,99.0,55.0,1.0,64.0,9.0,76.0,81.0,15.0,0.0,0.0,0.0
48,10092,97.0,67.0,3.0,0.0,97.0,100.0,0.0,0.0,50.0,98.0,0.0
49,10095,53.0,79.0,2.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0
50,10097,96.0,51.0,3.0,0.0,57.0,0.0,94.0,0.0,0.0,0.0,0.0
51,10099,98.0,94.0,2.0,0.0,98.0,83.0,96.0,2.0,0.0,0.0,0.0
52,10100,100.0,66.0,3.0,64.0,33.0,95.0,0.0,2.0,0.0,90.0,0.0
53,10101,96.0,46.0,0.0,0.0,56.0,97.0,100.0,0.0,0.0,0.0,0.0
