,Provider ID,OP_10,OP_11,OP_13,OP_14,OP_8
0,10001,6.4,0.9,7.1,2.4,38.1
1,10005,13.3,10.2,5.3,4.0,42.8
2,10006,11.8,4.6,0.0,4.6,45.6
3,10007,24.3,6.1,0.0,0.0,0.0
4,10008,3.6,0.0,0.0,0.6,0.0
5,10011,2.4,10.4,0.0,3.4,36.2
6,10012,6.1,10.8,3.1,0.0,0.0
7,10016,31.4,1.5,4.7,3.6,37.8
8,10019,21.0,0.8,0.0,4.4,38.4
9,10021,4.2,1.3,1.5,0.0,52.9
10,10022,7.1,5.7,0.0,0.0,0.0
11,10023,2.6,0.3,0.0,3.7,45.9
12,10024,9.1,0.2,0.0,2.1,45.7
13,10029,11.6,1.1,6.0,2.7,46.7
14,10032,1.4,0.0,0.0,0.0,0.0
15,10033,23.6,0.0,11.8,2.8,40.3
16,10034,14.3,3.3,0.0,0.0,0.0
17,10035,8.8,9.5,0.8,4.3,45.6
18,10036,8.0,12.2,0.0,0.0,36.8
19,10038,4.5,7.2,12.1,0.0,52.8
20,10039,16.5,0.0,4.9,4.7,39.5
21,10040,12.5,5.9,0.0,5.8,38.3
22,10044,3.5,2.3,0.0,0.0,0.0
23,10045,1.6,0.4,0.0,4.1,49.0
24,10046,2.1,3.5,0.0,6.9,0.0
25,10047,2.2,0.0,0.0,0.0,0.0
26,10049,4.2,0.3,9.3,6.1,50.0
27,10051,0.0,0.0,0.0,0.0,0.0
28,10055,6.2,1.0,5.4,4.1,43.0
29,10056,5.3,0.2,6.7,3.8,47.7
30,10058,6.5,0.0,0.0,0.0,0.0
31,10059,8.6,1.1,0.0,6.5,0.0
32,10061,4.5,0.0,0.0,3.9,43.9
33,10062,33.3,0.0,0.0,0.0,0.0
34,10065,6.2,1.5,0.0,1.2,49.1
35,10069,4.5,6.1,5.0,0.0,0.0
36,10073,1.6,1.6,4.5,0.0,0.0
37,10078,8.9,1.9,4.5,3.3,39.0
38,10079,26.6,0.8,8.5,4.8,31.3
39,10083,21.2,14.2,5.6,4.2,32.0
40,10085,13.6,9.8,4.2,1.8,41.2
41,10086,5.4,2.9,4.3,0.0,53.6
42,10087,22.8,15.5,0.0,6.6,0.0
43,10089,5.1,8.4,0.0,3.0,56.4
44,10090,41.0,7.0,0.0,4.2,47.3
45,10091,30.8,24.0,0.0,0.0,0.0
46,10092,2.1,0.2,3.4,3.0,47.2
47,10095,0.0,0.0,0.0,0.6,0.0
48,10097,12.0,0.0,0.0,0.0,0.0
49,10099,33.7,1.6,3.3,0.8,59.7
50,10100,15.5,3.9,0.0,4.1,38.7
51,10101,12.4,6.7,3.4,0.0,0.0
52,10102,7.2,0.0,0.0,0.0,0.0
53,10103,12.8,6.4,0.0,3.0,42.2
54,10104,13.4,0.5,4.9,4.4,43.8
55,10108,8.0,0.6,0.0,0.0,52.6
56,10109,3.8,1.0,0.0,0.0,0.0
