Provider ID,Hospital Name,ZIP Code,County Name,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
10001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,HOUSTON,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,3,2,1,2,2,2
10005,MARSHALL MEDICAL CENTER SOUTH,35957,MARSHALL,Acute Care Hospitals,Government - Hospital District or Authority,1,3,1,2,3,2,2,3,1
10006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,LAUDERDALE,Acute Care Hospitals,Government - Hospital District or Authority,1,2,1,2,2,1,2,3,2
10011,ST VINCENT'S EAST,35235,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,1,2,1,1,2,2
10012,DEKALB REGIONAL MEDICAL CENTER,35968,DE KALB,Acute Care Hospitals,Proprietary,1,3,1,2,2,2,2,3,2
10016,SHELBY BAPTIST MEDICAL CENTER,35007,SHELBY,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,3,3,1,3,1,1
10019,HELEN KELLER MEMORIAL HOSPITAL,35660,COLBERT,Acute Care Hospitals,Government - Hospital District or Authority,1,2,1,1,1,1,2,3,1
10021,DALE MEDICAL CENTER,36360,DALE,Acute Care Hospitals,Government - Hospital District or Authority,1,4,2,2,2,3,3,3,2
10023,BAPTIST MEDICAL CENTER SOUTH,36116,MONTGOMERY,Acute Care Hospitals,Government - Hospital District or Authority,1,3,1,3,2,1,3,1,3
10024,JACKSON HOSPITAL & CLINIC INC,36106,MONTGOMERY,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,3,3,2,3,2,2
10029,EAST ALABAMA MEDICAL CENTER,36801,LEE,Acute Care Hospitals,Government - Hospital District or Authority,1,4,2,3,3,3,2,3,2
10033,UNIVERSITY OF ALABAMA HOSPITAL,35233,JEFFERSON,Acute Care Hospitals,Government - State,1,3,2,3,1,3,2,1,1
10035,CULLMAN REGIONAL MEDICAL CENTER,35058,CULLMAN,Acute Care Hospitals,Government - Hospital District or Authority,1,3,1,3,2,3,3,2,2
10036,ANDALUSIA REGIONAL HOSPITAL,36420,COVINGTON,Acute Care Hospitals,Proprietary,1,3,2,1,1,1,3,3,2
10038,STRINGFELLOW MEMORIAL HOSPITAL,36201,CALHOUN,Acute Care Hospitals,Proprietary,1,3,2,2,2,1,2,3,2
10039,HUNTSVILLE HOSPITAL,35801,MADISON,Acute Care Hospitals,Government - Hospital District or Authority,1,3,1,3,3,3,3,1,1
10040,GADSDEN REGIONAL MEDICAL CENTER,35903,ETOWAH,Acute Care Hospitals,Proprietary,1,2,2,1,1,1,2,1,2
10045,FAYETTE MEDICAL CENTER,35555,FAYETTE,Acute Care Hospitals,Voluntary non-profit - Other,1,4,2,2,2,3,2,3,2
10046,RIVERVIEW REGIONAL MEDICAL CENTER,35901,ETOWAH,Acute Care Hospitals,Proprietary,1,3,2,3,2,1,1,2,2
10049,MEDICAL CENTER ENTERPRISE,36330,COFFEE,Acute Care Hospitals,Proprietary,1,3,1,2,3,2,3,2,2
10055,FLOWERS HOSPITAL,36305,HOUSTON,Acute Care Hospitals,Proprietary,1,4,1,3,3,3,3,3,2
10056,ST VINCENT'S BIRMINGHAM,35205,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,1,3,3,2,1,2
10059,LAWRENCE MEDICAL CENTER,35650,LAWRENCE,Acute Care Hospitals,Government - Hospital District or Authority,1,4,2,2,2,2,2,3,2
10061,HIGHLANDS MEDICAL CENTER,35768,JACKSON,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,2,2,1,2,2
10065,RUSSELL HOSPITAL,35010,TALLAPOOSA,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,1,2,2,2,2,2
10069,MEDICAL CENTER BARBOUR,36027,BARBOUR,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,2,2,2,3,2
10073,CLAY COUNTY HOSPITAL,36251,CLAY,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,2,2,2,3,2
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,36207,CALHOUN,Acute Care Hospitals,Government - Local,1,2,2,1,3,1,1,2,2
10079,ATHENS LIMESTONE HOSPITAL,35611,LIMESTONE,Acute Care Hospitals,Government - Hospital District or Authority,1,2,2,2,1,2,2,3,1
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,36535,BALDWIN,Acute Care Hospitals,Proprietary,1,3,2,1,2,3,3,2,1
10085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,35601,MORGAN,Acute Care Hospitals,Government - Hospital District or Authority,1,2,2,1,3,1,1,2,1
10086,NORTHWEST MEDICAL CENTER,35594,MARION,Acute Care Hospitals,Proprietary,1,4,2,2,2,3,2,3,2
10087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,36617,MOBILE,Acute Care Hospitals,Government - State,1,3,2,2,1,3,3,1,1
10089,WALKER BAPTIST MEDICAL CENTER,35502,WALKER,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,3,2,1,3,2,2
10090,PROVIDENCE HOSPITAL,36608,MOBILE,Acute Care Hospitals,Voluntary non-profit - Church,1,2,1,1,2,1,3,2,1
10092,D C H REGIONAL MEDICAL CENTER,35401,TUSCALOOSA,Acute Care Hospitals,Government - Hospital District or Authority,1,2,1,2,1,2,2,1,3
10099,D W MCMILLAN MEMORIAL HOSPITAL,36426,ESCAMBIA,Acute Care Hospitals,Government - Hospital District or Authority,1,2,2,2,2,2,1,3,1
10100,THOMAS HOSPITAL,36532,BALDWIN,Acute Care Hospitals,Government - Hospital District or Authority,1,4,2,2,3,3,2,1,1
10101,CITIZENS BAPTIST MEDICAL CENTER,35161,TALLADEGA,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,2,1,3,3,2
10103,BAPTIST MEDICAL CENTER-PRINCETON,35211,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Church,1,3,1,3,2,3,3,1,2
10104,GRANDVIEW MEDICAL CENTER,35243,JEFFERSON,Acute Care Hospitals,Proprietary,1,2,1,1,2,3,3,3,2
10108,PRATTVILLE BAPTIST HOSPITAL,36067,AUTAUGA,Acute Care Hospitals,Government - Hospital District or Authority,1,4,2,2,3,3,2,1,2
10112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,36732,MARENGO,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,2,2,1,2,2
10113,MOBILE INFIRMARY MEDICAL CENTER,36652,MOBILE,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,1,1,3,2,1,1
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",35021,JEFFERSON,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,3,1,2,3,2
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,36701,DALLAS,Acute Care Hospitals,Proprietary,1,3,2,3,2,1,1,2,2
10120,MONROE COUNTY HOSPITAL,36460,MONROE,Acute Care Hospitals,Government - Local,1,3,2,2,2,3,2,2,2
10126,TROY REGIONAL MEDICAL CENTER,36081,PIKE,Acute Care Hospitals,Government - Federal,1,3,2,2,2,2,2,3,2
10130,ST VINCENT'S ST CLAIR,35125,SAINT CLAIR,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,1,3,1,3,1
