,Provider ID,MORT_30_AMI,MORT_30_CABG,MORT_30_COPD,MORT_30_HF,MORT_30_PN,MORT_30_STK
0,10001,12.5,4.2,9.3,12.4,15.5,15.4
1,10005,16.0,0.0,7.6,15.5,20.8,15.5
2,10006,16.7,4.1,7.1,15.6,18.2,17.9
3,10007,0.0,0.0,9.3,14.4,18.8,16.6
4,10008,0.0,0.0,8.2,12.7,15.7,0.0
5,10011,13.9,3.7,7.4,13.8,17.9,12.6
6,10012,16.8,0.0,9.2,12.5,26.8,15.8
7,10016,14.7,3.6,8.1,14.0,16.1,15.8
8,10018,0.0,0.0,0.0,0.0,0.0,0.0
9,10019,15.6,0.0,8.7,12.9,19.1,15.4
10,10021,0.0,0.0,6.4,12.2,14.3,16.5
11,10022,0.0,0.0,7.7,15.8,15.8,0.0
12,10023,13.4,4.5,9.1,13.5,16.4,16.4
13,10024,14.8,4.8,9.5,10.6,18.7,13.4
14,10029,15.5,4.4,8.0,12.1,18.8,14.4
15,10032,0.0,0.0,8.2,10.5,15.8,0.0
16,10033,12.4,2.3,7.1,10.5,14.9,18.9
17,10034,0.0,0.0,7.0,9.4,13.0,14.7
18,10035,15.7,0.0,8.3,12.5,20.2,16.8
19,10036,0.0,0.0,7.2,11.5,15.1,13.2
20,10038,14.5,0.0,6.4,12.1,14.7,14.4
21,10039,13.1,1.8,8.3,11.7,18.7,17.9
22,10040,15.0,3.7,7.5,13.8,18.7,13.9
23,10044,0.0,0.0,6.6,11.4,13.9,0.0
24,10045,0.0,0.0,7.6,10.7,17.4,13.9
25,10046,15.9,3.1,7.8,11.5,17.7,14.7
26,10047,0.0,0.0,7.2,0.0,14.6,0.0
27,10049,0.0,0.0,11.6,13.6,19.7,14.7
28,10051,0.0,0.0,9.2,10.4,16.4,0.0
29,10052,0.0,0.0,7.5,11.9,16.0,0.0
30,10055,17.0,3.6,10.9,14.2,14.4,16.4
31,10056,15.5,5.3,8.2,12.7,13.9,14.1
32,10058,0.0,0.0,0.0,0.0,18.5,0.0
33,10059,14.5,0.0,7.4,12.2,15.0,14.1
34,10061,0.0,0.0,8.0,12.1,16.3,15.4
35,10062,0.0,0.0,8.3,14.7,16.6,0.0
36,10065,14.7,0.0,7.0,12.6,19.1,14.9
37,10069,0.0,0.0,8.6,12.3,17.3,14.9
38,10073,0.0,0.0,8.3,12.7,17.7,0.0
39,10078,14.2,3.0,6.8,13.5,18.5,14.9
40,10079,0.0,0.0,9.3,12.4,18.8,15.2
41,10083,14.2,0.0,7.9,11.2,14.1,16.1
42,10085,14.5,0.0,6.7,12.4,19.2,15.7
43,10086,0.0,0.0,7.1,11.3,15.2,15.4
44,10087,0.0,0.0,7.6,0.0,0.0,18.2
45,10089,12.7,0.0,9.1,13.1,18.7,14.4
