,Provider ID,READM_30_AMI,READM_30_CABG,READM_30_COPD,READM_30_HF,READM_30_HIP_KNEE,READM_30_HOSP_WIDE,READM_30_PN,READM_30_STK
0,10001,16.5,15.1,21.1,21.4,5.1,15.4,18.7,12.7
1,10005,16.7,0.0,18.0,21.9,5.7,14.9,16.4,13.4
2,10006,16.1,15.2,19.8,20.6,5.0,15.4,17.9,12.0
3,10007,0.0,0.0,19.9,21.1,0.0,16.6,17.3,12.7
4,10008,0.0,0.0,19.2,23.1,0.0,15.7,16.0,0.0
5,10011,17.7,15.0,19.6,19.8,5.1,15.3,16.7,11.3
6,10012,16.1,0.0,19.2,23.4,0.0,15.3,19.4,12.8
7,10016,17.7,15.8,17.9,21.5,5.0,14.7,17.1,12.4
8,10018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10019,0.0,0.0,23.0,22.4,4.1,15.9,18.3,13.5
10,10021,0.0,0.0,19.9,21.3,5.1,14.8,16.4,0.0
11,10022,0.0,0.0,19.2,21.3,0.0,15.2,15.3,0.0
12,10023,18.1,15.6,19.5,23.3,4.7,15.6,18.6,13.8
13,10024,17.9,14.0,17.2,19.0,4.9,15.1,16.9,13.0
14,10029,16.8,12.6,19.2,23.2,5.9,15.2,15.8,12.1
15,10032,0.0,0.0,18.6,21.6,0.0,14.9,16.3,0.0
16,10033,18.0,14.0,19.9,23.7,5.7,16.5,18.6,16.0
17,10034,0.0,0.0,20.1,21.7,0.0,14.7,15.8,12.7
18,10035,16.2,0.0,19.8,22.8,4.6,15.7,16.6,12.5
19,10036,0.0,0.0,19.8,23.4,3.9,16.4,17.2,12.5
20,10038,17.7,0.0,20.3,24.0,4.7,15.9,17.7,13.5
21,10039,16.3,13.7,19.2,21.5,4.8,15.2,17.3,12.3
22,10040,17.1,16.0,19.7,21.0,6.7,15.9,18.0,13.1
23,10044,0.0,0.0,19.0,20.8,0.0,14.9,15.2,0.0
24,10045,0.0,0.0,21.7,22.2,0.0,15.9,19.7,11.2
25,10046,17.9,14.2,21.3,22.3,4.8,15.6,17.5,12.7
26,10047,0.0,0.0,20.0,0.0,0.0,15.8,18.1,0.0
27,10049,0.0,0.0,21.3,22.5,4.3,14.7,15.8,12.4
28,10051,0.0,0.0,20.4,21.1,0.0,14.9,16.8,0.0
29,10052,0.0,0.0,19.1,21.5,0.0,14.6,17.5,0.0
30,10055,16.0,13.3,17.8,20.4,4.9,14.9,14.9,12.4
31,10056,16.9,16.4,20.4,22.5,5.1,15.2,16.1,14.7
32,10058,0.0,0.0,0.0,0.0,0.0,15.4,17.9,0.0
33,10059,0.0,0.0,19.2,22.3,0.0,14.6,15.1,13.1
34,10061,0.0,0.0,19.2,22.6,4.6,15.7,16.1,14.1
35,10062,0.0,0.0,18.8,20.8,0.0,15.2,16.7,0.0
36,10065,16.0,0.0,16.8,21.0,5.7,15.9,17.8,13.1
37,10069,0.0,0.0,20.7,20.9,0.0,15.2,16.0,12.3
38,10073,0.0,0.0,19.5,21.0,0.0,15.4,16.5,0.0
39,10078,17.8,15.7,17.1,20.2,6.2,15.1,16.9,12.1
40,10079,0.0,0.0,21.6,22.9,4.3,16.0,18.8,13.2
41,10083,16.5,0.0,17.3,21.6,5.5,15.4,18.3,12.5
42,10085,17.5,0.0,20.8,21.7,4.3,14.6,18.0,12.3
43,10086,0.0,0.0,21.7,21.5,0.0,15.7,15.5,12.4
44,10087,0.0,0.0,20.4,21.8,0.0,16.4,0.0,14.3
45,10089,17.8,0.0,21.5,22.8,4.8,15.6,16.5,12.7
46,10090,17.9,13.5,20.6,21.0,4.7,15.5,20.5,14.0
47,10091,0.0,0.0,19.5,21.0,0.0,15.0,15.6,0.0
48,10092,18.7,13.8,19.8,22.8,5.5,16.1,19.0,13.3
49,10095,0.0,0.0,0.0,0.0,0.0,15.7,16.6,0.0
50,10097,0.0,0.0,20.1,22.0,0.0,15.3,16.6,0.0
51,10099,0.0,0.0,21.7,20.9,0.0,15.8,16.8,12.8
52,10100,15.5,13.0,17.2,21.1,4.6,14.9,16.5,10.5
53,10101,0.0,0.0,19.4,23.2,0.0,15.9,17.5,12.6
54,10102,0.0,0.0,0.0,0.0,0.0,15.5,15.7,0.0
55,10103,17.7,17.1,20.1,22.2,4.5,15.5,15.0,13.2
56,10104,15.7,14.4,21.0,20.4,5.2,15.3,18.3,13.2
57,10108,0.0,0.0,18.7,22.4,0.0,14.6,17.9,12.1
58,10109,0.0,0.0,21.8,22.1,0.0,15.8,16.3,0.0
59,10110,0.0,0.0,20.6,21.5,0.0,16.7,17.9,0.0
60,10112,0.0,0.0,18.9,21.7,0.0,15.0,19.4,0.0
61,10113,16.8,14.2,22.4,23.1,5.1,16.4,18.9,15.0
62,10114,16.9,0.0,17.8,22.0,4.5,15.0,16.9,12.0
63,10118,18.6,0.0,17.5,23.6,0.0,15.2,17.6,15.0
64,10120,0.0,0.0,20.4,20.4,0.0,16.2,19.4,12.2
65,10125,0.0,0.0,17.1,21.6,0.0,13.7,13.3,12.9
66,10126,0.0,0.0,21.2,23.7,4.8,15.3,15.8,12.3
67,10128,0.0,0.0,18.4,22.0,0.0,15.5,17.0,0.0
68,10129,0.0,0.0,21.0,22.4,0.0,16.8,17.1,13.8
69,10130,0.0,0.0,19.3,22.9,0.0,16.2,20.3,12.7
70,10131,17.6,0.0,18.9,23.6,4.8,15.6,16.5,12.5
71,10138,0.0,0.0,0.0,0.0,0.0,15.9,0.0,0.0
72,10139,17.4,15.5,21.2,20.7,5.0,15.7,18.4,14.3
73,10144,18.4,15.3,20.0,22.9,4.8,15.7,18.3,14.3
74,10146,0.0,0.0,20.3,21.6,0.0,15.2,18.8,0.0
