,Provider ID,HAI_1_SIR,HAI_2_SIR,HAI_3_SIR,HAI_4_SIR,HAI_5_SIR,HAI_6_SIR,COMP_HIP_KNEE,PSI
0,10001,1.74,1.4269999999999998,1.87,0.0,0.42200000000000004,0.787,3.8,182.65999999999997
1,10005,1.062,0.456,0.386,0.0,1.3880000000000001,0.405,3.0,198.85
2,10006,0.341,0.6409999999999999,0.31,0.0,1.261,0.513,3.8,208.32000000000002
3,10007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.419999999999998
4,10008,0.0,0.0,0.0,0.0,0.0,0.585,0.0,3.34
5,10011,0.557,0.395,1.4280000000000002,0.0,0.885,0.7,3.7,180.42000000000002
6,10012,0.0,0.0,0.0,0.0,0.0,0.225,2.8,22.219999999999995
7,10016,0.364,0.35100000000000003,0.723,0.0,1.58,0.758,2.8,174.8
8,10018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.979999999999999
9,10019,0.6970000000000001,0.08900000000000001,0.423,0.0,1.788,0.371,1.8,145.51999999999995
10,10021,0.0,0.0,0.0,0.0,0.0,0.242,3.9,19.490000000000002
11,10022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02
12,10023,1.126,0.8109999999999999,1.2429999999999999,0.9259999999999999,2.343,0.912,2.1,189.04
13,10024,1.749,0.705,0.612,2.334,3.4739999999999998,0.9490000000000001,2.1,190.28000000000006
14,10029,0.764,0.33299999999999996,0.37,1.767,0.993,0.633,3.4,167.1
15,10032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21
16,10033,0.857,0.308,0.997,0.768,1.262,0.8170000000000001,3.4,161.31
17,10034,0.0,0.659,0.0,0.0,0.0,0.8690000000000001,0.0,8.97
18,10035,0.175,0.49,0.613,0.0,1.933,0.203,2.5,144.14
19,10036,0.0,0.0,0.0,0.0,0.0,0.27899999999999997,2.6,10.71
20,10038,0.0,0.868,0.0,0.0,0.0,0.616,3.0,9.79
21,10039,1.1079999999999999,0.5710000000000001,1.464,0.563,0.578,0.589,2.1,185.87000000000003
22,10040,0.29,0.14800000000000002,0.0,0.0,0.55,0.43799999999999994,4.0,145.42
23,10044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32
24,10045,0.0,1.146,0.0,0.0,0.0,1.6769999999999998,0.0,10.610000000000001
25,10046,0.0,1.2309999999999999,0.541,0.0,0.573,0.645,3.6,156.32999999999998
26,10047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35
27,10049,0.0,0.0,0.0,0.9359999999999999,0.0,0.49,2.4,17.96
28,10051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36
29,10052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88
30,10055,0.44,0.706,1.459,0.831,0.428,0.807,3.4,213.41000000000003
31,10056,0.373,0.24,0.446,0.867,1.5,0.885,2.8,180.36
32,10058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35
33,10059,0.0,0.0,0.0,0.0,0.0,1.381,0.0,3.32
34,10061,0.695,0.91,0.0,0.0,0.0,0.285,3.0,21.999999999999996
35,10062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.36
36,10065,0.0,0.0,0.0,0.0,0.0,0.41600000000000004,3.3,145.13
37,10069,0.0,0.568,0.0,0.0,0.0,0.0,0.0,10.19
38,10073,0.0,0.899,0.0,0.0,0.0,0.0,0.0,2.83
39,10078,0.324,0.66,0.0,0.0,0.787,0.635,4.6,182.47
40,10079,1.4040000000000001,0.6970000000000001,0.0,0.0,0.0,0.866,2.9,21.21
41,10083,0.0,0.182,1.185,0.0,0.716,0.41100000000000003,2.5,159.21999999999997
42,10085,0.37200000000000005,0.39,1.546,0.0,0.373,0.29600000000000004,3.1,200.25
43,10086,0.0,1.2570000000000001,0.0,0.0,0.0,0.249,0.0,7.569999999999999
44,10087,1.2919999999999998,0.634,2.379,0.0,3.182,0.561,0.0,161.71
45,10089,0.603,0.23399999999999999,0.0,0.0,0.91,0.938,2.4,147.9
46,10090,0.534,0.25,0.862,0.0,1.048,0.856,3.3,203.32999999999998
47,10091,0.0,0.0,0.0,0.0,0.0,0.635,0.0,3.24
48,10092,0.855,0.423,0.836,0.525,0.465,0.6659999999999999,3.4,154.61999999999998
49,10095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28
50,10097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04
51,10099,0.0,1.11,0.0,0.0,0.0,0.799,0.0,11.79
52,10100,0.444,0.621,1.266,0.0,1.327,0.272,3.4,164.71
53,10101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.790000000000001
54,10102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3699999999999997
55,10103,1.297,0.6829999999999999,0.17300000000000001,0.0,4.361000000000001,0.917,2.6,163.01
56,10104,0.466,0.534,0.0,0.0,1.7,0.191,4.3,199.2
57,10108,0.0,0.0,0.0,0.0,0.0,0.977,0.0,10.149999999999999
58,10109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2300000000000004
59,10110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06
60,10112,0.0,0.0,0.0,0.0,0.0,0.754,0.0,7.699999999999999
61,10113,0.7070000000000001,0.433,0.6890000000000001,1.35,1.371,0.444,4.0,159.94
62,10114,1.3659999999999999,0.919,1.9769999999999999,0.0,0.0,0.507,3.4,176.82000000000002
63,10118,0.355,0.321,0.0,0.0,0.0,1.227,0.0,142.74
64,10120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18
65,10125,0.0,0.0,0.0,0.0,0.0,0.282,0.0,3.24
66,10126,0.0,0.0,0.0,0.0,0.0,0.44,3.4,19.779999999999998
67,10128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27
68,10129,0.0,0.62,0.0,0.0,0.0,0.94,0.0,10.790000000000001
69,10130,0.0,0.0,0.0,0.0,0.0,0.797,0.0,8.319999999999999
70,10131,1.127,1.0390000000000001,0.853,1.393,0.0,0.32299999999999995,3.2,152.41000000000003
71,10138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35
72,10139,0.72,0.204,1.194,0.456,1.0590000000000002,0.4,3.6,155.13
73,10144,0.753,1.131,1.3419999999999999,0.0,1.3419999999999999,0.423,3.0,168.73999999999998
74,10146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94
75,10148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65
76,10149,0.865,0.092,0.0,0.48700000000000004,0.48700000000000004,0.867,0.0,16.790000000000003
77,10150,0.0,0.0,0.0,0.0,0.0,0.0,2.8,18.67
78,10157,0.0,0.33899999999999997,0.9940000000000001,0.0,0.0,1.0190000000000001,3.1,9.209999999999999
79,10158,0.0,0.0,0.0,0.0,0.0,0.0,3.8,21.42
80,10164,0.0,0.0,0.0,0.0,0.0,0.515,4.1,24.229999999999997
81,10168,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.260000000000002
82,10169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.87
83,11300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,11302,0.0,0.0,0.0,0.0,0.0,0.608,0.0,0.0
85,11304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,11305,0.0,0.0,0.0,0.0,0.0,0.525,0.0,0.0
87,13300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,13301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,20001,0.529,0.7609999999999999,1.355,0.0,1.605,0.733,3.8,152.56
90,20006,0.24600000000000002,0.17,2.356,0.0,0.0,0.397,4.1,20.569999999999997
91,20008,0.0,0.0,0.0,0.0,0.0,0.0,3.2,11.18
92,20012,0.541,0.261,2.51,0.0,0.0,0.19699999999999998,3.5,19.849999999999998
93,20017,0.609,0.534,0.0,0.0,0.0,1.669,3.3,156.57999999999998
94,20018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3699999999999997
95,20026,0.687,0.948,1.0979999999999999,0.0,2.026,0.7340000000000001,3.4,182.43
96,21303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,21306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,21308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,21309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,21310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,21311,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
102,30001,0.4,0.353,0.0,0.0,0.0,1.013,0.0,9.79
103,30002,0.574,0.33,1.033,1.319,0.79,0.75,3.5,162.75
104,30006,0.654,0.7440000000000001,1.976,0.6759999999999999,0.7170000000000001,1.196,3.3,143.53
105,30007,0.601,0.401,2.289,0.0,0.0,1.0090000000000001,2.5,135.51000000000002
106,30010,0.7020000000000001,1.2690000000000001,1.548,0.0,2.279,1.4340000000000002,3.4,162.55000000000004
107,30011,0.087,0.511,0.945,0.43,0.777,1.126,2.5,186.49
108,30012,0.0,0.155,0.873,0.0,2.489,1.54,2.6,134.57
109,30013,0.292,0.433,0.465,0.0,1.611,0.815,3.1,157.29999999999998
110,30014,1.82,1.314,1.681,0.0,1.4,1.474,3.5,139.13
111,30016,0.0,0.32,0.99,0.0,0.7829999999999999,0.48200000000000004,3.2,164.01999999999998
112,30022,0.741,0.882,0.705,0.0,1.632,0.6829999999999999,0.0,27.91
113,30023,0.406,1.13,1.656,0.0,0.727,1.114,2.4,126.17999999999999
114,30024,0.605,0.754,1.758,1.088,0.8009999999999999,0.9520000000000001,0.0,106.83
115,30030,0.502,0.657,1.038,0.0,1.391,0.932,2.7,156.02
116,30033,0.0,0.0,0.0,0.0,0.0,1.2590000000000001,3.0,18.3
117,30036,0.374,0.44,1.06,0.951,1.62,1.4040000000000001,2.4,145.26
118,30037,0.634,0.153,0.0,0.0,1.1520000000000001,0.815,3.1,175.8
119,30038,0.26899999999999996,0.789,0.289,0.0,0.907,1.057,2.7,168.93
120,30043,0.0,0.44799999999999995,0.688,0.0,0.0,1.255,3.8,158.14999999999998
121,30055,1.315,1.195,0.5529999999999999,0.0,3.0869999999999997,0.96,2.8,178.74
122,30061,0.228,0.20800000000000002,0.278,0.0,0.7190000000000001,0.591,2.6,132.55
123,30062,0.0,0.41100000000000003,0.0,0.0,0.0,0.278,3.1,156.77000000000004
124,30064,0.9279999999999999,0.8240000000000001,2.801,1.496,0.996,1.6,2.3,207.57
125,30065,0.682,0.442,1.357,1.179,0.20600000000000002,0.624,2.7,107.13000000000001
126,30068,0.0,0.0,0.0,0.0,0.0,0.55,2.5,10.39
127,30069,0.0,0.348,0.0,0.0,0.669,1.319,2.9,147.15
128,30071,0.0,0.0,0.0,0.0,0.0,0.632,0.0,10.1
